id,transaction_time,card_token,merchant_address_country,cost_region,transaction_type,transaction_cost_type,transaction_personal_details_input,transaction_card_ownership_proof_method,state,amount_currency,amount_value,billing_amount_currency,billing_amount_value,interchange_currency,inter_change_fee,merchant_name,category,conversion_revenue_gbp,total_revenue_gbp,total_cost_gbp,profit_gbp
11602,2018-01-02 12:27:20,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,2.8,EUR,2.8,EUR,0.01,Taxify 18.01.02 1216,Limousines,0.0,0.0087951,0.0592612116,-0.0504661116
11625,2018-01-02 15:02:14,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,3.0,EUR,3.0,EUR,0.01,Taxify 18.01.02 1442,Limousines,0.0,0.0087951,0.059208441,-0.050413341
11627,2018-01-02 15:07:31,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.5,EUR,1.5,EUR,0.0,MYFITNESS POST.NARVA M,AthleticFieldsCommercialSpor,0.0,0.0,0.0596042205,-0.0596042205
11634,2018-01-02 16:06:55,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,12.72,EUR,12.72,EUR,0.03,ICA AB/TAMMSAARE RIMI,MiscellaneousFoodStoresConven,0.0,0.0263853,0.056643789839999986,-0.030258489839999986
11635,2018-01-02 16:07:13,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,0.99,EUR,0.99,EUR,0.0,ICA AB/TAMMSAARE RIMI,MiscellaneousFoodStoresConven,0.0,0.0,0.059738785530000005,-0.059738785530000005
11638,2018-01-02 17:01:45,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,3.0,EUR,3.0,EUR,0.01,RETROTEEK,BarsCocktailLoungesDiscothe,0.0,0.0087951,0.059208441,-0.050413341
11647,2018-01-02 17:42:08,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,11.5,EUR,11.5,EUR,0.02,Wolt DerekuBurgerFaehl,FastFoodRestaurants,0.0,0.0175902,0.0569656905,-0.0393754905
11658,2018-01-02 18:41:45,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,11.1,EUR,11.1,EUR,0.02,CHOPSTICKS VIRU KESKUS,EatingPlacesRestaurants,0.0,0.0175902,0.05707123169999999,-0.03948103169999999
11667,2018-01-02 19:00:46,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,5.0,EUR,5.0,EUR,0.01,VIRU KESKUSE PARKLA,AutomobileParkingLotsAndGara,0.0,0.0087951,0.058680735,-0.049885635
11680,2018-01-02 20:18:41,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,IE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,10.99,EUR,10.99,EUR,0.02,Udemy,ComputerProgrammingDataProce,0.0,0.0175902,0.05710025552999999,-0.03951005552999999
11722,2018-01-03 10:51:01,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.68,EUR,4.68,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05876516795999998,-0.04997006795999998
11735,2018-01-03 11:26:35,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,9.8,EUR,9.8,EUR,0.02,TOMMI GRILL TAT.TATARI,FastFoodRestaurants,0.0,0.0175902,0.0574142406,-0.0398240406
11740,2018-01-03 11:42:57,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,5.3,EUR,5.3,EUR,0.01,ONWINE VEINIPOO.TATARI,PackageStoresBeerWineLiqu,0.0,0.0087951,0.05860157910000001,-0.04980647910000001
11775,2018-01-03 16:51:55,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,8.46,EUR,8.46,EUR,0.02,UBER TRIP FOOG7 HELP.U,Limousines,0.0,0.0175902,0.05776780362,-0.04017760362
11799,2018-01-03 19:47:23,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,18.0,EUR,18.0,EUR,0.04,TONDI RESTO,EatingPlacesRestaurants,0.0,0.0351804,0.055250646000000014,-0.020070246000000014
11828,2018-01-04 7:44:05,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.8,EUR,1.8,EUR,0.0,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0,0.0595250646,-0.0595250646
11838,2018-01-04 8:08:53,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,4.45,EUR,4.45,EUR,0.01,UBER TRIP NDJ6H HELP.U,Limousines,0.0,0.0087951,0.05882585415,-0.05003075415
11839,2018-01-04 8:15:38,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,2.91,EUR,2.91,EUR,0.01,UBER TRIP NS73Y HELP.U,Limousines,0.0,0.0087951,0.05923218777000001,-0.05043708777000001
11872,2018-01-04 10:59:26,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,6.97,EUR,6.97,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05816094459,-0.04936584459
11884,2018-01-04 11:48:18,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.68,EUR,4.68,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05876516795999998,-0.04997006795999998
11919,2018-01-04 15:29:35,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,18.0,EUR,18.0,EUR,0.04,SPORDIKLUBI REVAL-SPOR,AthleticFieldsCommercialSpor,0.0,0.0351804,0.055250646000000014,-0.020070246000000014
11921,2018-01-04 15:41:06,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,EUR,3.54,EUR,3.54,EUR,0.01,UBER BV,Limousines,0.0,0.0087951,0.059065960380000004,-0.050270860380000004
11922,2018-01-04 15:44:38,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,3.8,EUR,3.8,EUR,0.01,MYFITNESS POST.NARVA M,AthleticFieldsCommercialSpor,0.0,0.0087951,0.058997358600000015,-0.050202258600000015
11926,2018-01-04 16:02:41,5ed88a59-183d-4235-8f85-29ca23a147d7,TR,Intra,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,TRY,8.0,GBP,1.58,GBP,0.02,WATSONS-VIALAND,CosmeticStores,0.24660000000000015,0.26660000000000017,0.05773325000000001,0.20886675000000016
11927,2018-01-04 16:12:35,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,5.13,EUR,5.13,EUR,0.01,SOPRUSE KONSUM,MiscellaneousFoodStoresConven,0.0,0.0087951,0.05864643411,-0.04985133411
11936,2018-01-04 17:09:02,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.89,EUR,4.89,EUR,0.01,ICA AB/HAABERSTI RIMI,GroceryStoresSupermarkets,0.0,0.0087951,0.05870975882999999,-0.04991465882999999
11943,2018-01-04 17:45:26,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,7.45,EUR,7.45,EUR,0.01,ICA AB/POSTIMAJA RIMI,GroceryStoresSupermarkets,0.0,0.0087951,0.05803429515000001,-0.04923919515000001
11991,2018-01-05 8:23:01,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,3.5,EUR,3.5,EUR,0.01,Taxify 18.01.05 0813,Limousines,0.0,0.0087951,0.059076514499999996,-0.050281414499999996
12010,2018-01-05 10:31:13,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.68,EUR,4.68,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05876516795999998,-0.04997006795999998
12021,2018-01-05 11:08:01,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,10.6,EUR,10.6,EUR,0.02,BISCOTTI KOHVIK,Bakeries,0.0,0.0175902,0.05720315820000002,-0.03961295820000002
12022,2018-01-05 11:10:28,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05889709446,-0.05010199446
12074,2018-01-05 16:28:11,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,29.8,EUR,29.8,EUR,0.06,PETCITY VAKSALI,PetShopsPetFoodAndSupplies,0.0,0.0527706,0.0521371806,0.0006334194000000015
12077,2018-01-05 16:37:58,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,12.6,EUR,12.6,EUR,0.03,MILEEDI LILL-E-PESA,Florists,0.0,0.0263853,0.056675452200000004,-0.030290152200000003
12079,2018-01-05 16:58:41,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,13.76,EUR,13.76,EUR,0.03,ICA AB/SOPRUSE RIMI IS,GroceryStoresSupermarkets,0.0,0.0263853,0.05636938272,-0.02998408272
12088,2018-01-05 17:46:27,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,12.0,EUR,12.0,EUR,0.02,BOHEEM PIZZA,FastFoodRestaurants,0.0,0.0175902,0.05683376400000001,-0.03924356400000001
12130,2018-01-06 0:13:57,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,20.0,EUR,20.0,EUR,0.04,RED EMPEROR BAR-HO.AIA,LodgingHotelsMotelsResorts,0.0,0.0351804,0.05472294,-0.019542539999999997
12154,2018-01-06 9:19:42,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,3.3,EUR,3.3,EUR,0.01,KADAKA HULGIKAUP,GroceryStoresSupermarkets,0.0,0.0087951,0.0591292851,-0.0503341851
12157,2018-01-06 9:57:57,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,5.9,EUR,5.9,EUR,0.01,TALLINN HARKUJARVE TAN,ServiceStationsWithOrWithou,0.0,0.0087951,0.0584432673,-0.0496481673
12158,2018-01-06 9:58:25,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.3,EUR,1.3,EUR,0.0,TALLINN HARKUJARVE TAN,ServiceStationsWithOrWithou,0.0,0.0,0.0596569911,-0.0596569911
12171,2018-01-06 11:42:51,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,4.8,EUR,4.8,EUR,0.01,CIRCLE K JARVEVANA,ServiceStationsWithOrWithou,0.0,0.0087951,0.0587335056,-0.0499384056
12177,2018-01-06 12:12:31,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,2.2,EUR,2.2,EUR,0.0,R-KIOSK 257 SOLE NESTE,MiscellaneousGeneralMerchandis,0.0,0.0,0.059419523399999986,-0.059419523399999986
12236,2018-01-06 16:40:24,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,2.3,EUR,2.3,EUR,0.0,MYFITNESS POST.NARVA M,AthleticFieldsCommercialSpor,0.0,0.0,0.059393138099999986,-0.059393138099999986
12246,2018-01-06 17:40:43,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,4.1,EUR,4.1,EUR,0.01,UBER TRIP XBBZZ HELP.U,Limousines,0.0,0.0087951,0.0589182027,-0.0501231027
12247,2018-01-06 17:42:05,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,EUR,1.0,EUR,1.0,EUR,0.0,UBER BV,Limousines,0.0,0.0,0.059736147,-0.059736147
12252,2018-01-06 18:23:13,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,6.1,EUR,6.1,EUR,0.01,WOK TO WALK.VANA-VIRU,EatingPlacesRestaurants,0.0,0.0087951,0.05839049669999999,-0.04959539669999999
12253,2018-01-06 18:39:20,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.65,EUR,1.65,EUR,0.0,ICA AB/POSTIMAJA RIMI,GroceryStoresSupermarkets,0.0,0.0,0.05956464255,-0.05956464255
12267,2018-01-06 19:49:40,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,3.3,EUR,3.3,EUR,0.01,Taxify 18.01.06 1941,Limousines,0.0,0.0087951,0.0591292851,-0.0503341851
12289,2018-01-07 0:23:58,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,3.6,EUR,3.6,EUR,0.01,KUKU KLUBI,BarsCocktailLoungesDiscothe,0.0,0.0087951,0.05905012919999999,-0.05025502919999999
12291,2018-01-07 0:54:31,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,3.6,EUR,3.6,EUR,0.01,KUKU KLUBI,BarsCocktailLoungesDiscothe,0.0,0.0087951,0.05905012919999999,-0.05025502919999999
12293,2018-01-07 1:19:48,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,11.3,EUR,11.3,EUR,0.02,MCDONALDS 9059239 Must,EatingPlacesRestaurants,0.0,0.0175902,0.05701846109999999,-0.03942826109999999
12367,2018-01-07 14:13:04,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,10.5,EUR,10.5,EUR,0.02,APOLLO KINO SOLARIS,MotionPictureTheaters,0.0,0.0175902,0.05722954349999998,-0.03963934349999998
12380,2018-01-07 15:31:43,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,9.04,EUR,9.04,EUR,0.02,ICA AB/HAABERSTI RIMI,GroceryStoresSupermarkets,0.0,0.0175902,0.057614768879999986,-0.040024568879999986
12386,2018-01-07 16:27:37,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,EUR,5.2,EUR,5.2,EUR,0.01,GUSTAV CAFE.ESTONIA PS,EatingPlacesRestaurants,0.0,0.0087951,0.05862796439999999,-0.04983286439999999
12392,2018-01-07 17:21:28,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,13.49,EUR,13.49,EUR,0.03,ICA AB/TAMMSAARE RIMI,MiscellaneousFoodStoresConven,0.0,0.0263853,0.05644062303,-0.030055323029999997
12394,2018-01-07 17:24:56,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,9.8,EUR,9.8,EUR,0.02,RIKETS MUSTAMA.TAMMSAA,Florists,0.0,0.0175902,0.0574142406,-0.0398240406
12431,2018-01-08 7:02:36,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,3.7,EUR,3.7,EUR,0.01,CIRCLE K KRISTIINE,ServiceStationsWithOrWithou,0.0,0.0087951,0.05902374389999999,-0.05022864389999999
12433,2018-01-08 7:44:10,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,4.1,EUR,4.1,EUR,0.01,Taxify 18.01.08 0730,Limousines,0.0,0.0087951,0.0589182027,-0.0501231027
12446,2018-01-08 9:05:45,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.8,EUR,1.8,EUR,0.0,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0,0.0595250646,-0.0595250646
12483,2018-01-08 11:50:08,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05889709446,-0.05010199446
12486,2018-01-08 12:11:46,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.14,EUR,4.14,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.058907648580000006,-0.050112548580000006
12490,2018-01-08 12:41:27,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0087951,0.05889709446,-0.05010199446
12524,2018-01-08 16:55:45,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,EUR,7.52,EUR,7.52,EUR,0.02,UBER BV,Limousines,0.0,0.0175902,0.05801582544,-0.04042562544
12537,2018-01-08 18:43:52,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,13.2,EUR,13.2,EUR,0.03,Wolt UulitsSoo,FastFoodRestaurants,0.0,0.0263853,0.05651714039999997,-0.03013184039999997
12540,2018-01-08 18:57:33,c6bebd92-5a96-49a5-b986-4b6299206706,AU,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,AUD,145.0,GBP,84.11,GBP,1.35,SP * SA TOURISM,MenSAndWomenSClothingStore,1.8907949999999971,3.240794999999997,-0.04337400625,3.2841690062499973
12582,2018-01-09 7:58:31,83cd69a1-64e5-4526-aa7d-3e423ccedfe9,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,1.07,EUR,1.07,EUR,0.0,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0,0.059717677289999986,-0.059717677289999986
12584,2018-01-09 8:17:05,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,EUR,2.9,EUR,2.9,EUR,0.01,Taxify 18.01.09 0804,Limousines,0.0,0.0087951,0.0592348263,-0.0504397263
12625,2018-01-09 11:25:04,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,EUR,8.32,EUR,8.32,EUR,0.02,VEERENNI CAFE .VEERENN,FastFoodRestaurants,0.0,0.0175902,0.057804743039999995,-0.040214543039999995
