id,transaction_time,card_token,merchant_address_country,cost_region,transaction_type,transaction_cost_type,transaction_personal_details_input,transaction_card_ownership_proof_method,state,decline_reason,amount_currency,amount_value,billing_amount_currency,billing_amount_value,interchange_currency,inter_change_fee,merchant_name,category
11936,2018-01-04 17:09:02,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.89,EUR,4.89,EUR,0.01,ICA AB/HAABERSTI RIMI,GroceryStoresSupermarkets
11943,2018-01-04 17:45:26,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,7.45,EUR,7.45,EUR,0.01,ICA AB/POSTIMAJA RIMI,GroceryStoresSupermarkets
11991,2018-01-05 8:23:01,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,3.50,EUR,3.50,EUR,0.01,Taxify 18.01.05 0813,Limousines
12010,2018-01-05 10:31:13,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.68,EUR,4.68,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12021,2018-01-05 11:08:01,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,10.60,EUR,10.60,EUR,0.02,BISCOTTI KOHVIK,Bakeries
12022,2018-01-05 11:10:28,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12074,2018-01-05 16:28:11,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,29.80,EUR,29.80,EUR,0.06,PETCITY VAKSALI,PetShopsPetFoodAndSupplies
12077,2018-01-05 16:37:58,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,12.60,EUR,12.60,EUR,0.03,MILEEDI LILL-E-PESA,Florists
12079,2018-01-05 16:58:41,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,13.76,EUR,13.76,EUR,0.03,ICA AB/SOPRUSE RIMI IS,GroceryStoresSupermarkets
12088,2018-01-05 17:46:27,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,12.00,EUR,12.00,EUR,0.02,BOHEEM PIZZA,FastFoodRestaurants
12130,2018-01-06 0:13:57,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,20.00,EUR,20.00,EUR,0.04,RED EMPEROR BAR-HO.AIA,LodgingHotelsMotelsResorts
12154,2018-01-06 9:19:42,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,3.30,EUR,3.30,EUR,0.01,KADAKA HULGIKAUP,GroceryStoresSupermarkets
12157,2018-01-06 9:57:57,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,5.90,EUR,5.90,EUR,0.01,TALLINN HARKUJARVE TAN,ServiceStationsWithOrWithou
12158,2018-01-06 9:58:25,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,1.30,EUR,1.30,EUR,0.00,TALLINN HARKUJARVE TAN,ServiceStationsWithOrWithou
12171,2018-01-06 11:42:51,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,4.80,EUR,4.80,EUR,0.01,CIRCLE K JARVEVANA,ServiceStationsWithOrWithou
12177,2018-01-06 12:12:31,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,2.20,EUR,2.20,EUR,0.00,R-KIOSK 257 SOLE NESTE,MiscellaneousGeneralMerchandis
12236,2018-01-06 16:40:24,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,2.30,EUR,2.30,EUR,0.00,MYFITNESS POST.NARVA M,AthleticFieldsCommercialSpor
12246,2018-01-06 17:40:43,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,4.10,EUR,4.10,EUR,0.01,UBER TRIP XBBZZ HELP.U,Limousines
12247,2018-01-06 17:42:05,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,EUR,1.00,EUR,1.00,EUR,0.00,UBER BV,Limousines
12252,2018-01-06 18:23:13,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,6.10,EUR,6.10,EUR,0.01,WOK TO WALK.VANA-VIRU,EatingPlacesRestaurants
12253,2018-01-06 18:39:20,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,1.65,EUR,1.65,EUR,0.00,ICA AB/POSTIMAJA RIMI,GroceryStoresSupermarkets
12267,2018-01-06 19:49:40,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,3.30,EUR,3.30,EUR,0.01,Taxify 18.01.06 1941,Limousines
12289,2018-01-07 0:23:58,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,3.60,EUR,3.60,EUR,0.01,KUKU KLUBI,BarsCocktailLoungesDiscothe
12291,2018-01-07 0:54:31,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,3.60,EUR,3.60,EUR,0.01,KUKU KLUBI,BarsCocktailLoungesDiscothe
12293,2018-01-07 1:19:48,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,11.30,EUR,11.30,EUR,0.02,MCDONALDS 9059239 Must,EatingPlacesRestaurants
12367,2018-01-07 14:13:04,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,10.50,EUR,10.50,EUR,0.02,APOLLO KINO SOLARIS,MotionPictureTheaters
12380,2018-01-07 15:31:43,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,9.04,EUR,9.04,EUR,0.02,ICA AB/HAABERSTI RIMI,GroceryStoresSupermarkets
12386,2018-01-07 16:27:37,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CHIP,PIN,SUCCESS,,EUR,5.20,EUR,5.20,EUR,0.01,GUSTAV CAFE.ESTONIA PS,EatingPlacesRestaurants
12392,2018-01-07 17:21:28,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,13.49,EUR,13.49,EUR,0.03,ICA AB/TAMMSAARE RIMI,MiscellaneousFoodStoresConven
12394,2018-01-07 17:24:56,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,9.80,EUR,9.80,EUR,0.02,RIKETS MUSTAMA.TAMMSAA,Florists
12431,2018-01-08 7:02:36,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,3.70,EUR,3.70,EUR,0.01,CIRCLE K KRISTIINE,ServiceStationsWithOrWithou
12433,2018-01-08 7:44:10,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,4.10,EUR,4.10,EUR,0.01,Taxify 18.01.08 0730,Limousines
12446,2018-01-08 9:05:45,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,1.80,EUR,1.80,EUR,0.00,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12483,2018-01-08 11:50:08,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12486,2018-01-08 12:11:46,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.14,EUR,4.14,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12490,2018-01-08 12:41:27,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12524,2018-01-08 16:55:45,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,EUR,7.52,EUR,7.52,EUR,0.02,UBER BV,Limousines
12537,2018-01-08 18:43:52,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,13.20,EUR,13.20,EUR,0.03,Wolt UulitsSoo,FastFoodRestaurants
12540,2018-01-08 18:57:33,c6bebd92-5a96-49a5-b986-4b6299206706,AU,Intra,ECOM_PURCHASE,POS/ECOM,ECOM,UNKNOWN,SUCCESS,,AUD,145.00,GBP,84.11,GBP,1.35,SP * SA TOURISM,MenSAndWomenSClothingStore
12582,2018-01-09 7:58:31,83cd69a1-64e5-4526-aa7d-3e423ccedfe9,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,1.07,EUR,1.07,EUR,0.00,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12584,2018-01-09 8:17:05,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,2.90,EUR,2.90,EUR,0.01,Taxify 18.01.09 0804,Limousines
12625,2018-01-09 11:25:04,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,8.32,EUR,8.32,EUR,0.02,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12628,2018-01-09 11:37:49,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.18,EUR,4.18,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12637,2018-01-09 12:24:53,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.68,EUR,4.68,EUR,0.01,VEERENNI CAFE .VEERENN,FastFoodRestaurants
12647,2018-01-09 13:06:41,4276e10c-693c-4bd9-99e0-4b399281bed7,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,3.99,GBP,3.99,GBP,0.01,ITSU 034 GRT EASTRN ST,EatingPlacesRestaurants
12664,2018-01-09 15:50:21,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,0.70,EUR,0.70,EUR,0.00,REGALIA KAUPLU.PUHANGU,PackageStoresBeerWineLiqu
12668,2018-01-09 16:27:27,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,1.50,EUR,1.50,EUR,0.00,MYFITNESS POST.NARVA M,AthleticFieldsCommercialSpor
12669,2018-01-09 16:47:45,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,3.30,EUR,3.30,EUR,0.01,HESBURGER 40005,FastFoodRestaurants
12673,2018-01-09 17:03:54,ee19e8c7-cd0a-4aca-a345-b8a2976f88c0,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.00,EUR,4.00,EUR,0.01,TALLINN CROSSFIT,AthleticFieldsCommercialSpor
12691,2018-01-09 18:48:05,ed39695c-a026-42ce-865d-8062a56ec18b,EE,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,15.20,EUR,15.20,EUR,0.03,Wolt MackBar-B-Que,FastFoodRestaurants
12696,2018-01-09 18:57:44,4276e10c-693c-4bd9-99e0-4b399281bed7,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,7.30,GBP,7.30,GBP,0.01,THE RUSKIN ARMS,EatingPlacesRestaurants
12702,2018-01-09 19:42:59,4276e10c-693c-4bd9-99e0-4b399281bed7,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,7.30,GBP,7.30,GBP,0.01,THE RUSKIN ARMS,EatingPlacesRestaurants
12709,2018-01-09 21:06:10,4276e10c-693c-4bd9-99e0-4b399281bed7,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,7.30,GBP,7.30,GBP,0.01,THE RUSKIN ARMS,EatingPlacesRestaurants
12711,2018-01-09 22:24:39,4276e10c-693c-4bd9-99e0-4b399281bed7,GB,Domestic,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,GBP,8.40,GBP,8.40,GBP,0.02,THE RUSKIN ARMS,EatingPlacesRestaurants
12729,2018-01-10 6:50:05,3a971774-4fbc-4b2f-b28b-4b7f52dadc91,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,3.70,EUR,3.70,EUR,0.01,CIRCLE K KRISTIINE,ServiceStationsWithOrWithou
12734,2018-01-10 8:00:10,e6af604f-973f-416d-86c9-5521425d2de4,EE,Inter,POS_PURCHASE,POS/ECOM,CONTACTLESS,PIN,SUCCESS,,EUR,4.50,EUR,4.50,EUR,0.01,R-KIOSK 257 SOLE NESTE,MiscellaneousGeneralMerchandis
12739,2018-01-10 8:15:33,ed39695c-a026-42ce-865d-8062a56ec18b,NL,Inter,ECOM_PURCHASE,POS/ECOM,ECOM,NONE,SUCCESS,,EUR,2.76,EUR,2.76,EUR,0.01,UBER TRIP CPIXT HELP.U,Limousines
